latitude;longitude;depth
56.12780072;9.95486742;0.0
56.1278009;9.95486731;0.0
56.12780107;9.95486718;0.0
56.1278012;9.95486706;0.0
56.12780133;9.95486689;0.0
56.12780149;9.95486661;0.0
56.12780155;9.95486643;0.0
56.12780152;9.9548663;0.0
56.12780146;9.95486614;0.0
56.12780121;9.95486592;0.0
56.12780108;9.9548657;0.0
56.12780096;9.95486557;0.0
56.12780082;9.95486539;0.0
56.12780065;9.95486516;0.0
56.12780045;9.95486485;0.0
56.12780026;9.95486448;0.0
56.12780002;9.95486407;0.0
56.12779973;9.95486339;0.0
56.12779937;9.95486283;0.0
56.12779898;9.95486221;0.0
56.12779857;9.95486161;0.0
56.12779811;9.95486101;0.0
56.1277977;9.95486037;0.0
56.12779718;9.95485971;0.0
56.12779668;9.95485905;0.0
56.12779615;9.95485833;0.0
56.12779556;9.95485753;0.0
56.12779503;9.95485678;0.0
56.12779453;9.9548561;0.0
56.127794;9.95485548;0.0
56.12779349;9.95485501;0.0
56.12779297;9.95485431;0.0
56.12779247;9.9548536;0.0
56.12779193;9.95485276;0.0
56.12779142;9.95485182;0.0
56.12779097;9.95485109;0.0
56.12779059;9.95485046;0.0
56.12779022;9.95484989;0.0
56.12778992;9.95484948;0.0
56.12778959;9.95484942;0.0
56.1277894;9.95484919;0.0
56.12778928;9.95484888;0.0
56.12778918;9.95484863;0.0
56.12778901;9.95484818;0.0
56.12778891;9.95484801;0.0
56.12778886;9.95484789;0.0
56.1277888;9.95484782;0.0
56.12778869;9.95484783;0.0
56.12778862;9.95484778;0.0
56.12778853;9.95484764;0.0
56.12778847;9.95484755;0.0
56.12778845;9.95484741;0.0
56.12778844;9.95484739;0.0
56.12778843;9.95484736;0.0
56.12778842;9.95484735;0.0
56.1277884;9.95484734;0.0
56.1277884;9.95484737;0.0
56.12778836;9.9548474;0.0
56.12778832;9.95484741;0.0
56.12778827;9.95484739;0.0
56.12778816;9.95484741;0.0
56.12778816;9.95484749;0.0
56.12778816;9.95484751;0.0
56.12778813;9.95484742;0.0
56.12778809;9.95484728;0.0
56.12778805;9.95484711;0.0
56.12778803;9.95484698;0.0
56.12778804;9.95484695;0.0
56.12778808;9.9548467;0.0
56.12778808;9.95484654;0.0
56.12778806;9.95484646;0.0
56.127788;9.95484653;0.0
56.12778792;9.95484658;0.0
56.12778768;9.95484665;0.0
56.12778759;9.95484663;0.0
56.12778753;9.95484658;0.0
56.12778749;9.95484653;0.0
56.12778758;9.95484647;0.0
56.12778756;9.95484643;0.0
56.12778755;9.95484637;0.0
56.12778754;9.95484636;0.0
56.12778754;9.95484651;0.0
56.12778755;9.95484651;0.0
56.12778754;9.95484637;0.0
56.12778755;9.95484628;0.0
56.12778747;9.95484621;0.0
56.1277875;9.95484629;0.0
56.12778758;9.95484646;0.0
56.12778762;9.95484659;0.0
56.1277876;9.95484663;0.0
56.1277875;9.95484665;0.0
56.12778755;9.95484656;0.0
56.12778762;9.95484649;0.0
56.12778773;9.95484647;0.0
56.12778792;9.95484653;0.0
56.12778802;9.95484615;0.0
56.12778813;9.95484564;0.0
56.12778829;9.95484491;0.0
56.12778844;9.95484408;0.0
56.12778865;9.95484319;0.0
56.12778887;9.95484222;0.0
56.12778911;9.95484106;0.0
56.12778931;9.95483995;0.0
56.12778958;9.9548387;0.0
56.12778984;9.95483744;0.0
56.12779012;9.95483601;0.0
56.1277904;9.95483461;0.0
56.12779065;9.95483304;0.0
56.12779099;9.95483156;0.0
56.12779139;9.95482995;0.0
56.12779179;9.95482842;0.0
56.12779217;9.95482688;0.0
56.1277926;9.95482541;0.0
56.1277931;9.95482386;0.0
56.12779358;9.95482242;0.0
56.12779402;9.95482111;0.0
56.12779452;9.95481977;0.0
56.12779511;9.95481839;0.0
56.12779572;9.95481705;0.0
56.12779648;9.95481562;0.0
56.12779719;9.95481423;0.0
56.12779798;9.9548128;0.0
56.12779876;9.95481143;0.0
56.12779961;9.95480997;0.0
56.12780037;9.95480866;0.0
56.12780121;9.95480722;0.0
56.12780205;9.95480583;0.0
56.127803;9.95480433;0.0
56.12780387;9.95480303;0.0
56.12780486;9.95480159;0.0
56.12780582;9.95480027;0.0
56.12780685;9.95479895;0.0
56.12780784;9.9547978;0.0
56.1278089;9.95479653;0.0
56.12780993;9.95479534;0.0
56.12781103;9.95479408;0.0
56.1278121;9.95479296;0.0
56.12781326;9.95479177;0.0
56.12781437;9.95479064;0.0
56.12781553;9.95478947;0.0
56.12781666;9.95478837;0.0
56.12781776;9.95478728;0.0
56.12781892;9.95478621;0.0
56.12782012;9.95478512;0.0
56.1278213;9.95478409;0.0
56.1278225;9.95478309;0.0
56.12782376;9.95478202;0.0
56.12782515;9.95478084;0.0
56.12782648;9.95477971;0.0
56.12782798;9.95477861;0.0
56.12782935;9.9547775;0.0
56.12783081;9.95477632;0.0
56.12783226;9.95477521;0.0
56.12783386;9.95477407;0.0
56.12783541;9.95477296;0.0
56.12783702;9.95477178;0.0
56.12783858;9.95477064;0.0
56.12784024;9.95476941;0.0
56.12784175;9.95476818;0.0
56.12784336;9.95476705;0.0
56.12784491;9.95476595;0.0
56.1278466;9.95476473;0.0
56.12784815;9.95476349;0.0
56.12784988;9.95476238;0.0
